code_uai,n_siret,type_detablissement,nom,sigle,statut,tutelle,universite_de_rattachement_libelle_et_uai,universite_de_rattachement_id_et_url_onisep,etablissements_lies_libelles,etablissements_lies_url_et_id_onisep,boite_postale,adresse,cp,commune,commune_cog,cedex,telephone,arrondissement,departement,academie,region,region_cog,longitude_x,latitude_y,journees_portes_ouvertes,langues_enseignees,url_et_id_onisep,date_creation,date_de_modification
0921594H,19921594800019,"lycée général, technologique ou polyvalent",Lycée Michel-Ange,,public,Ministère chargé de l'Éducation nationale,,,,,,2 avenue Georges Pompidou,92390,Villeneuve-la-Garenne,92078,,01 41 47 67 70,,Hauts-de-Seine,Versailles,Ile-de-France,11,2.32624,48.9408,,"Allemand, Anglais, Arabe, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1651,06/06/2020,04/10/2022
0671509B,19671509800014,"lycée général, technologique ou polyvalent",Lycée polyvalent Heinrich Nessel,,public,Ministère chargé de l'Éducation nationale,,,,,BP 50235,123 route de Strasbourg,67504,Haguenau,67180,Cedex,03 88 53 20 00,,Bas-Rhin,Strasbourg,Grand Est,44,7.76945,48.8003,,"Allemand, Anglais, Arabe, Espagnol, Italien, Russe",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13084,06/06/2020,12/02/2026
0590222W,19590222600016,"lycée général, technologique ou polyvalent",Lycée Watteau,,public,Ministère chargé de l'Éducation nationale,,,,,BP 419,20 boulevard Pater,59307,Valenciennes,59606,Cedex,03 27 28 27 00,,Nord,Lille,Hauts-de-France,32,3.53117,50.3585,,"Allemand, Anglais, Chinois, Espagnol, Italien, Japonais, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14451,06/06/2020,03/03/2025
0133015G,19133015800012,"lycée général, technologique ou polyvalent",Lycée polyvalent Pierre Mendès-France,,public,Ministère chargé de l'Éducation nationale,,,,,BP 17,Avenue Yitzhak Rabin,13741,Vitrolles,13117,Cedex,04 42 89 89 79,,Bouches-du-Rhône,Aix-Marseille,Provence-Alpes-Côte d'Azur,93,5.24694,43.4465,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2633,06/06/2020,04/09/2025
0280036M,19280036500012,"lycée général, technologique ou polyvalent",Lycée polyvalent Rémi Belleau,,public,Ministère chargé de l'Éducation nationale,,,,,,33 rue Bretonnerie,28400,Nogent-le-Rotrou,28280,,02 36 85 99 00,,Eure-et-Loir,Orléans-Tours,Centre-Val de Loire,24,0.81102,48.3175,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13537,06/06/2020,30/03/2026
0590214M,19590214300013,"lycée général, technologique ou polyvalent",Lycée polyvalent Colbert,,public,Ministère chargé de l'Éducation nationale,,,,,BP 50620,2 parvis Jean-Baptiste Colbert,59208,Tourcoing,59599,Cedex,03 20 76 12 00,,Nord,Lille,Hauts-de-France,32,3.156852722168,50.725596419569,,"Allemand, Anglais, Arabe, Espagnol, Néerlandais",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6178,06/06/2020,17/10/2025
0560039N,19560039000015,lycée professionnel,Lycée professionnel du Blavet,,public,Ministère chargé de l'Éducation nationale,,,,,,43 rue Charles Gounod,56300,Pontivy,56178,,02 97 25 35 40,,Morbihan,Rennes,Bretagne,53,-2.96011,48.0578,,Anglais,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18675,06/06/2020,16/12/2025
0410002E,19410002000016,"lycée général, technologique ou polyvalent",Lycée Philibert Dessaignes,,public,Ministère chargé de l'Éducation nationale,,,Lycée professionnel Sonia Delaunay à Blois (41),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12498,,12 rue Dessaignes,41000,Blois,41018,,02 54 55 53 00,,Loir-et-Cher,Orléans-Tours,Centre-Val de Loire,24,1.33877,47.5954,,"Allemand, Anglais, Chinois, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1073,06/06/2020,14/01/2026
0330115W,19330115700023,"lycée général, technologique ou polyvalent",Lycée Élisée Reclus,,public,Ministère chargé de l'Éducation nationale,,,Lycée professionnel Paul Broca à Sainte-Foy-la-Grande (33),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16625,BP 69,7 avenue de Verdun,33220,Sainte-Foy-la-Grande,33402,,05 57 41 92 50,,Gironde,Bordeaux,Nouvelle-Aquitaine,75,0.214774,44.8381,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9391,06/06/2020,14/04/2026
0810003N,19810003400018,lycée professionnel,Lycée polyvalent Toulouse-Lautrec,,public,Ministère chargé de l'Éducation nationale,,,,,BP 80314,15 rue Charles Portal,81027,Albi,81004,Cedex 9,05 63 49 19 29,,Tarn,Toulouse,Occitanie,76,2.13938,43.9259,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11911,06/06/2020,13/03/2026
0721094Y,19721094100013,"lycée général, technologique ou polyvalent",Lycée polyvalent Le Mans sud,,public,Ministère chargé de l'Éducation nationale,,,Lycée nouvelle chance 72 à Le Mans (72),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16925,,128 rue Henri Champion,72058,Le Mans,72181,Cedex 02,02 43 86 24 16,,Sarthe,Nantes,Pays de la Loire,52,0.229352,47.9811,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8574,06/06/2020,15/10/2025
0570087K,19570087700010,"lycée général, technologique ou polyvalent",Lycée des métiers et des technologies innovantes Charles Jully,,public,Ministère chargé de l'Éducation nationale,,,,,,59 rue du Maréchal Foch,57500,Saint-Avold,57606,,03 87 29 30 20,,Moselle,Nancy-Metz,Grand Est,44,6.69305,49.1055,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11394,06/06/2020,04/03/2026
0490040C,19490040300016,"lycée général, technologique ou polyvalent",Lycée Duplessis Mornay,,public,Ministère chargé de l'Éducation nationale,,,Collège Yolande d'Anjou à Saumur (49),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6964,BP 330,1 rue Duruy,49408,Saumur,49328,Cedex,02 41 53 05 30,,Maine-et-Loire,Nantes,Pays de la Loire,52,-0.0759087,47.2553,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6971,06/06/2020,15/10/2025
0590098L,19590098000010,lycée professionnel,Lycée professionnel Placide Courtoy,,public,Ministère chargé de l'Éducation nationale,,,,,BP 50129,1 rue Placide Courtoy,59618,Hautmont,59291,,03 27 63 79 77,,Nord,Lille,Hauts-de-France,32,3.9131927490234,50.251314366533,,"Anglais, Arabe, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1910,06/06/2020,28/01/2026
0595856V,19595856600018,lycée professionnel,Lycée professionnel de l'Yser,,public,Ministère chargé de l'Éducation nationale,,,,,BP 31,18 bis route d'Esquelbecq,59726,Wormhout,59663,Cedex,03 28 65 63 94,,Nord,Lille,Hauts-de-France,32,2.45332,50.8841,,Anglais,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.858,06/06/2020,13/02/2025
0710048S,19710048000015,"lycée général, technologique ou polyvalent",Lycée polyvalent René Cassin,,public,Ministère chargé de l'Éducation nationale,,,,,,49 boulevard des Neuf Clés,71018,Mâcon,71270,Cedex,03 85 39 53 50,,Saône-et-Loire,Dijon,Bourgogne-Franche-Comté,27,4.8212,46.3147,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12187,06/06/2020,09/03/2026
0010034G,19010034700011,"lycée général, technologique ou polyvalent",Lycée polyvalent Paul Painlevé,,public,Ministère chargé de l'Éducation nationale,,,,,BP 813,13 place des déportés de 1944,01108,Oyonnax,01283,Cedex,04 74 81 21 00,,Ain,Lyon,Auvergne-Rhône-Alpes,84,5.66052,46.2562,,"Allemand, Anglais, Espagnol, Italien",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7128,06/06/2020,20/11/2025
0850076W,78834310100010,"lycée général, technologique ou polyvalent",Lycée Jean XXIII,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,,,BP 535,Avenue des Sables,85505,Les Herbiers,85109,Cedex,02 51 64 99 64,,Vendée,Nantes,Pays de la Loire,52,-1.02728,46.8649,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8096,06/06/2020,06/02/2026
9760229V,19985001700013,"lycée général, technologique ou polyvalent",Lycée polyvalent de Petite Terre,,public,Ministère chargé de l'Éducation nationale,,,,,BP 196,Rue du lycée,97615,Pamandzi,97615,,02 69 60 55 65,,Mayotte,Mayotte,Mayotte,06,45.286081731319,-12.797991457628,,"Anglais, Arabe, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13946,06/06/2020,06/03/2025
0290184T,77755663000039,"lycée général, technologique ou polyvalent",Lycée Saint-Joseph - Les 2 Rives,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,Collège Saint-Sébastien - Les 2 rives à Landerneau (29) | Lycée Saint-Sébastien - Les 2 Rives à Landerneau (29),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8951 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1053,BP 30819,Route de Pencran,29208,Landerneau,29103,Cedex,02 98 85 02 58,,Finistère,Rennes,Bretagne,53,-4.23385,48.4501,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6010,06/06/2020,11/12/2025
0851400K,19851400200015,"lycée général, technologique ou polyvalent",Lycée polyvalent Jean Monnet,,public,Ministère chargé de l'Éducation nationale,,,,,BP 20,57 rue de la Demoiselle,85500,Les Herbiers,85109,Cedex,02 51 64 80 00,,Vendée,Nantes,Pays de la Loire,52,-1.02424,46.8612,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10904,06/06/2020,15/10/2025
0011119L,19011119500011,"lycée général, technologique ou polyvalent",Lycée polyvalent Arbez-Carme,,public,Ministère chargé de l'Éducation nationale,,,,,,1 rue Pierre et Marie Curie,01100,Bellignat,01031,,04 74 81 97 97,,Ain,Lyon,Auvergne-Rhône-Alpes,84,5.63345,46.2503,,"Allemand, Anglais, Espagnol, Italien",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12995,06/06/2020,20/11/2025
0250063H,19250063500011,lycée professionnel,Lycée professionnel Jouffroy d'Abbans,,public,Ministère chargé de l'Éducation nationale,,,,,BP 52109,16 rue de l'Helvetie,25112,Baume-les-Dames,25047,Cedex,03 81 84 02 77,,Doubs,Besançon,Bourgogne-Franche-Comté,27,6.3504,47.3496,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10570,06/06/2020,13/10/2025
0771027Y,19771027000012,"lycée général, technologique ou polyvalent",Lycée polyvalent Frédéric Joliot-Curie,,public,Ministère chargé de l'Éducation nationale,,,,,BP 36,168 rue Frédéric Joliot-Curie,77196,Dammarie-les-Lys,77152,Cedex,01 64 39 34 34,,Seine-et-Marne,Créteil,Ile-de-France,11,2.64865,48.5182,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14374,06/06/2020,24/02/2026
0860740M,77571615200019,école du secteur social,Institut régional du travail social Poitou-Charentes,IRTS,privé,Ministère des Solidarités et de la Santé,,,Institut régional du travail social Poitou-Charentes - antenne d'Angoulême à Angoulême (16) | Institut régional du travail social Poitou-Charentes - antenne de La Rochelle à La Rochelle (17) | Institut régional du travail social Poitou-Charentes - antenne de Niort à Niort (79) | Institut régional du travail social Poitou-Charentes - antenne de Saintes à Saintes (17),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18263 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19705 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17455 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18262,BP 215,1 rue Georges Guynemer,86005,Poitiers,86194,Cedex,05 49 37 60 00,,Vienne,Poitiers,Nouvelle-Aquitaine,75,0.330129,46.5779,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10688,06/06/2020,14/11/2025
0690032K,19690032800010,"lycée général, technologique ou polyvalent",Lycée Juliette Récamier,,public,Ministère chargé de l'Éducation nationale,,,,,,57 rue de la Charité,69287,Lyon,69380,Cedex 02,04 72 41 65 30,02,Rhône,Lyon,Auvergne-Rhône-Alpes,84,4.83121,45.7522,,"Allemand, Anglais, Chinois, Espagnol, Hébreu moderne, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2022,06/06/2020,20/11/2025
0580032V,19580032100018,"lycée général, technologique ou polyvalent",Lycée général et technologique Raoul Follereau,,public,Ministère chargé de l'Éducation nationale,,,Lycée général et technologique Jules Renard à Nevers (58) | Lycée professionnel Jean Rostand à Nevers (58),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11792 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14035,,9 boulevard Saint-Exupéry,58000,Nevers,58194,,03 86 60 36 00,,Nièvre,Dijon,Bourgogne-Franche-Comté,27,3.1589,47.0048,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13965,06/06/2020,07/11/2025
0690563M,81214415200020,"lycée général, technologique ou polyvalent",Lycée Saint-Louis - Saint-Bruno,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,Campus Sup Alta - Campus Sacré-Coeur des Chartreux à Lyon (69) | Lycée professionnel privé Saint-Louis - Saint-Bruno à Lyon (69),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23624 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4935,,16 rue des Chartreux,69283,Lyon,69380,Cedex 01,04 72 98 23 30,01,Rhône,Lyon,Auvergne-Rhône-Alpes,84,4.82323,45.772,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7425,06/06/2020,02/12/2025
0650874X,19650874100010,lycée professionnel,Lycée professionnel Lautréamont,,public,Ministère chargé de l'Éducation nationale,,,,,BP 1649,Avenue d'Azereix,65016,Tarbes,65440,Cedex,05 62 34 51 13,,Hautes-Pyrénées,Toulouse,Occitanie,76,0.056863,43.2283,,"Anglais, Espagnol, Portugais",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8141,06/06/2020,17/02/2026
0880023X,19880023700010,lycée professionnel,Lycée des métiers des services aux entreprises et aux administrations Isabelle Viviani,,public,Ministère chargé de l'Éducation nationale,,,,,,75 rue de Remiremont,88020,Épinal,88160,,03 29 35 29 85,,Vosges,Nancy-Metz,Grand Est,44,6.44982,48.1627,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10967,06/06/2020,05/03/2026
0161095D,19161095500012,"lycée général, technologique ou polyvalent",Lycée de l'image et du son,LISA,public,Ministère chargé de l'Éducation nationale,,,,,CS 22214,303 avenue de Navarre,16022,Angoulême,16015,Cedex,05 45 61 95 00,,Charente,Poitiers,Nouvelle-Aquitaine,75,0.153903,45.6332,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7261,06/06/2020,17/12/2025
0660077A,77618818700020,"lycée général, technologique ou polyvalent",Lycée privé polyvalent Sainte-Louise de Marillac,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,,,,68 avenue Victor Dalbiez,66000,Perpignan,66136,,04 68 55 50 05,,Pyrénées-Orientales,Montpellier,Occitanie,76,2.88246,42.6887,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7173,06/06/2020,03/03/2026
0342090M,20001499100018,"lycée général, technologique ou polyvalent",Lycée polyvalent Victor Hugo,,public,Ministère chargé de l'Éducation nationale,,,,,BP 80203,300 avenue Louis Médard,34401,Lunel,34145,Cedex,04 99 13 70 30,,Hérault,Montpellier,Occitanie,76,4.13697,43.6902,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14838,06/06/2020,17/06/2026
0660924W,20004876700012,"lycée général, technologique ou polyvalent",Lycée polyvalent Christian Bourquin,,public,Ministère chargé de l'Éducation nationale,,,,,CS 60094,4 avenue Nelson Mandela,66701,Argelès-sur-Mer,66008,,04 68 81 02 02,,Pyrénées-Orientales,Montpellier,Occitanie,76,3.00579,42.5655,,"Allemand, Anglais, Catalan, Espagnol, Italien",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17425,06/06/2020,03/03/2026
0940113M,19940113400010,"lycée général, technologique ou polyvalent",Lycée polyvalent Langevin Wallon,,public,Ministère chargé de l'Éducation nationale,,,,,,126 avenue Roger Salengro,94500,Champigny-sur-Marne,94017,Cedex,01 48 81 28 33,,Val-de-Marne,Créteil,Ile-de-France,11,2.49748,48.8164,,"Allemand, Anglais, Espagnol, Italien, Portugais",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14932,06/06/2020,15/02/2024
9741206T,19974120800011,"lycée général, technologique ou polyvalent",Lycée polyvalent de Bois d'Olive,,public,Ministère chargé de l'Éducation nationale,,,,,BP 71,112 avenue Laurent Vergès,97432,Saint-Pierre,97416,,02 62 49 89 60,,La Réunion,La Réunion,La Réunion,04,55.4575394,-21.2983187,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11288,06/06/2020,16/01/2026
0260008T,19260008800012,"lycée général, technologique ou polyvalent",Lycée général du Diois,,public,Ministère chargé de l'Éducation nationale,,,Collège du Diois à Die (26),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2961,BP 75,"Avenue Sadi Carnot, Square du souvenir français",26150,Die,26113,,04 75 22 03 43,,Drôme,Grenoble,Auvergne-Rhône-Alpes,84,5.369445858761,44.75597955,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6282,06/06/2020,06/11/2025
0352462L,37961849900030,lycée professionnel,Lycée professionnel et technologique Jeanne d'Arc,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,Collège Jeanne d'Arc à Vitré (35) | Lycée Jeanne d'Arc à Vitré (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3188 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2783,,1 ter boulevard Châteaubriant,35500,Vitré,35360,,02 99 75 38 79,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.20855,48.125,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16947,06/06/2020,17/06/2026
0180006J,19180006900012,"lycée général, technologique ou polyvalent",Lycée Marguerite de Navarre,,public,Ministère chargé de l'Éducation nationale,,,,,,50 rue de Vauvert,18016,Bourges,18033,Cedex,02 48 67 81 40,,Cher,Orléans-Tours,Centre-Val de Loire,24,2.38239,47.0819,,"Allemand, Anglais, Chinois, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Russe",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6697,06/06/2020,07/04/2026
0752961L,19752961300014,lycée professionnel,LP Gustave Eiffel,,public,Ministère chargé de l'Éducation nationale,,,,,,1 rue du Général Camou,75007,Paris,75100,,01 43 17 36 00,07,Paris,Paris,Ile-de-France,11,2.29985,48.8589,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7116,06/06/2020,13/02/2025
9830306R,20001442100016,lycée professionnel,Lycée professionnel Pétro Attiti,,public,Ministère chargé de l'Éducation nationale,,,,,BP K2,"15 rue Teilhard de Chardin, Rivière salée",98849,Nouméa,98818,Cedex,00 687 41 88 33,,Nouvelle-Calédonie,Collectivités d'Outre Mer,Collectivités d'outre-mer,00,166.46565914154,-22.231506819781,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10651,06/06/2020,08/06/2023
0441992B,19441992500020,"lycée général, technologique ou polyvalent",Lycée du Pays de Retz,,public,Ministère chargé de l'Éducation nationale,,,,,BP 1109,1 rue Georges Charpak,44211,Pornic,44131,Cedex,02 40 82 40 19,,Loire-Atlantique,Nantes,Pays de la Loire,52,-2.08709,47.1211,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9923,06/06/2020,22/10/2025
0130043B,19130043300015,"lycée général, technologique ou polyvalent",Lycée Victor Hugo,,public,Ministère chargé de l'Éducation nationale,,,,,,3 boulevard Gustave Desplaces,13003,Marseille,13200,,04 91 11 05 00,03,Bouches-du-Rhône,Aix-Marseille,Provence-Alpes-Côte d'Azur,93,5.38005,43.305,,"Allemand, Anglais, Arabe, Espagnol, Italien, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18235,06/06/2020,05/02/2026
0130038W,19130038300012,"lycée général, technologique ou polyvalent",Lycée Marseilleveyre,,public,Ministère chargé de l'Éducation nationale,,,Collège Marseilleveyre à Marseille (13),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12062,,83 traverse Parangon,13285,Marseille,13200,Cedex 08,04 91 17 67 00,08,Bouches-du-Rhône,Aix-Marseille,Provence-Alpes-Côte d'Azur,93,5.37775,43.2388,,"Allemand, Anglais, Arabe, Chinois, Espagnol, Italien, Langues et cultures de l'Antiquité : latin, Russe",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14532,06/06/2020,03/10/2025
0670020H,19670020700034,"lycée général, technologique ou polyvalent",Lycée Robert Schuman,,public,Ministère chargé de l'Éducation nationale,,,,,BP 30233,2 quai des pêcheurs,67504,Haguenau,67180,Cedex,03 88 07 44 00,,Bas-Rhin,Strasbourg,Grand Est,44,7.79543,48.8143,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Russe",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16875,06/06/2020,01/12/2025
0640066Z,19640066700016,lycée professionnel,Lycée professionnel Ramiro Arrué,,public,Ministère chargé de l'Éducation nationale,,,,,,4 rue Rodolphe Caillaux,64500,Saint-Jean-de-Luz,64483,,05 59 51 55 55,,Pyrénées-Atlantiques,Bordeaux,Nouvelle-Aquitaine,75,-1.63882,43.3752,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14255,06/06/2020,28/04/2026
0451462V,19451462600010,"lycée général, technologique ou polyvalent",Lycée Jacques Monod,,public,Ministère chargé de l'Éducation nationale,,,,,BP 80159,7 rue Léon Blum,45803,Saint-Jean-de-Braye,45284,Cedex,02 36 86 11 30,,Loiret,Orléans-Tours,Centre-Val de Loire,24,1.96775,47.9104,,"Allemand, Anglais, Espagnol, Japonais",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4923,06/06/2020,30/03/2026
0952196W,20006116600019,"lycée général, technologique ou polyvalent","Lycée polyvalent Gustave Monod, Lycée des métiers de l'ingénierie industrielle",,public,Ministère chargé de l'Éducation nationale,,,,,,71 avenue de Ceinture,95880,Enghien-les-Bains,95210,,01 39 89 32 41,,Val-d'Oise,Versailles,Ile-de-France,11,2.29549,48.9722,,"Allemand, Anglais, Chinois, Espagnol, Grec ancien, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16374,06/06/2020,22/07/2024
0450040Z,19450040100014,"lycée général, technologique ou polyvalent",Lycée en Forêt,,public,Ministère chargé de l'Éducation nationale,,,,,BP 717,45 avenue Louis Maurice Chautemps,45200,Montargis,45208,,02 36 84 99 20,,Loiret,Orléans-Tours,Centre-Val de Loire,24,2.75421,48.0111,,"Allemand, Anglais, Chinois, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12499,06/06/2020,30/03/2026
0720033V,19720033000011,"lycée général, technologique ou polyvalent",Lycée polyvalent Gabriel Touchard - Washington,,public,Ministère chargé de l'Éducation nationale,,,,,BP 22160,8 place Washington,72002,Le Mans,72181,Cedex 01,02 43 50 16 20,,Sarthe,Nantes,Pays de la Loire,52,0.204397,47.9951,,"Allemand, Anglais, Arabe, Espagnol, Langue des signes française",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14167,06/06/2020,21/10/2025
0931024H,19931024400017,lycée professionnel,Lycée professionnel Jean-Pierre Timbaud,,public,Ministère chargé de l'Éducation nationale,,,,,,103 avenue de la République,93300,Aubervilliers,93001,,01 48 33 87 88,,Seine-Saint-Denis,Créteil,Ile-de-France,11,2.39151,48.9054,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10713,06/06/2020,29/08/2025
