code_uai,n_siret,type_detablissement,nom,sigle,statut,tutelle,universite_de_rattachement_libelle_et_uai,universite_de_rattachement_id_et_url_onisep,etablissements_lies_libelles,etablissements_lies_url_et_id_onisep,boite_postale,adresse,cp,commune,commune_cog,cedex,telephone,arrondissement,departement,academie,region,region_cog,longitude_x,latitude_y,journees_portes_ouvertes,url_et_id_onisep,date_creation,date_de_modification
0690190G,,centre de formation de fonctionnaires,École du personnel paramédical du service de santé des Armées,EPPA,public,Ministère des Armées,,,,,,331 avenue du Général de Gaulle,69500,Bron,69029,Cedex,01 40 51 69 06,,69 - Rhône,Lyon,Auvergne-Rhône-Alpes,84,4.9248669,45.7282743,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8089,06/06/2020,12/01/2026
0292125C,39779265600027,école d'ingénieurs,Institut supérieur de l'électronique et du numérique Yncréa Ouest - campus de Brest,ISEN Yncréa Ouest,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,Institut supérieur de l'électronique et du numérique Yncréa Ouest - campus de Caen à Caen (14) | Institut supérieur de l'électronique et du numérique Yncréa Ouest - campus de Nantes à Carquefou (44) | Institut supérieur de l'électronique et du numérique Yncréa Ouest - campus de Paris - Antony à Antony (92) | Institut supérieur de l'électronique et du numérique Yncréa Ouest - campus de Rennes à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21973 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7463 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23341 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19593,CS 42807,20 rue Cuirassé Bretagne,29228,Brest,29019,Cedex 02,02 98 03 84 00,,29 - Finistère,Rennes,Bretagne,53,-4.49508,48.407,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10130,06/06/2020,07/11/2025
0590346F,78370584100022,grande école de commerce,SKEMA Business School,SKEMA BS,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,SKEMA Business School à Valbonne (06) | SKEMA Business School à Suresnes (92),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10600 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15730,,Avenue Willy Brandt,59777,Lille,59350,,03 20 21 59 62,,59 - Nord,Lille,Hauts-de-France,32,3.0759358406067,50.636472218764,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4442,06/06/2020,24/02/2026
0754987N,42334912500041,école d'art,Condé Paris,,privé,,,,,,,7-9 rue Cambronne,75015,Paris,75100,,01 40 33 36 22,15,75 - Paris,Paris,Ile-de-France,11,2.30182,48.8471,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5770,06/06/2020,19/05/2026
0597383E,13002574500014,unité de formation et de recherche,"Institut des Transversalités, des Sports et de la Santé - UPHF,  campus du Mont Houy",IT2S,public,Ministère de l'Enseignement supérieur et de la Recherche,Université polytechnique Hauts-de-France (0597132G),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19,,,,Campus du Mont Houy,59313,Valenciennes,59606,Cedex 09,03 27 51 18 05,,59 - Nord,Lille,Hauts-de-France,32,3.5146348,50.3284657,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25009,14/02/2025,04/05/2026
0651125V,19650048200019,école d'ingénieurs,École nationale d'ingénieurs de Tarbes,ENIT,public,Ministère de l'Enseignement supérieur et de la Recherche,Université de technologie de Tarbes Occitanie Pyrénées (0651124U),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24211,,,BP 1629,47 avenue d'Azereix,65016,Tarbes,65440,Cedex,05 62 44 27 04,,65 - Hautes-Pyrénées,Toulouse,Occitanie,76,0.0532501,43.2252,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5497,06/06/2020,28/10/2025
0783054W,81775918600023,grande école de commerce,HEC Paris,,privé,Chambre de commerce et d'industrie,,,,,,1 rue de la Libération,78351,Jouy-en-Josas,78322,Cedex,01 39 67 70 00,,78 - Yvelines,Versailles,Ile-de-France,11,2.1686089038849,48.757101189816,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16049,06/06/2020,08/01/2026
0941934S,39889833800023,école d'ingénieurs,EFREI Paris - campus de Villejuif,,privé,,Université Paris-Panthéon-Assas (0756305W),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.84,EFREI Paris - campus de Bordeaux à Bordeaux (33),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21957,,30-32 avenue de la République,94800,Villejuif,94076,,01 88 28 90 01,,94 - Val-de-Marne,Créteil,Ile-de-France,11,2.36402,48.7886,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1434,06/06/2020,25/06/2026
9840349G,19987001500013,unité de formation et de recherche,Départements de formation et recherche,UPF,public,Ministère de l'Enseignement supérieur et de la Recherche,Université de la Polynésie française (9840349G),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.224,,,BP 6570,Campus d'Outumaoro- Punaauia,98702,Faaa,98715,,689 803 803,,987 - Polynésie française,Collectivités d'Outre Mer,Collectivités d'outre-mer,00,-149.597397,-17.550961,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9011,06/06/2020,18/01/2023
0912403T,13002562000019,unité de formation et de recherche,Institut polytechnique de Paris,IP Paris,public,Ministère des Armées,Institut polytechnique de Paris - établissement expérimental (0912403T),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.276,,,,Route de Saclay,91128,Palaiseau,91477,,,,91 - Essonne,Versailles,Ile-de-France,11,2.212668,48.7190913,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24491,07/05/2024,17/05/2024
0340137P,79026124200016,grande école de commerce,Montpellier Business School,MBS,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,Montpellier Business School à Paris (75),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25519,,2300 avenue des Moulins,34185,Montpellier,34172,Cedex 04,04 67 10 25 00,,34 - Hérault,Montpellier,Occitanie,76,3.83339,43.6215,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13094,06/06/2020,24/12/2025
,13002566100013,unité de formation et de recherche,IDEX d'Université Côte d'Azur (MSc internationaux),,public,Ministère de l'Enseignement supérieur et de la Recherche,Université Côte d'Azur (0062205P),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.226,,,,"28 avenue Valrose, University Administrative Center, Grand Château",06103,Nice,06088,Cedex 2,,,06 - Alpes-Maritimes,Nice,Provence-Alpes-Côte d'Azur,93,7.2681133412667,43.7193543,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22221,09/11/2021,31/01/2024
0753533H,78457366900016,école d'art,École spéciale d'architecture,ESA,privé,,,,,,,254 boulevard Raspail,75014,Paris,75100,,01 40 47 40 47,14,75 - Paris,Paris,Ile-de-France,11,2.33094,48.8376,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17981,06/06/2020,18/11/2025
9730490V,13002059700014,unité de formation et de recherche,Département de formation et recherche sciences et technologies,,public,Ministère de l'Enseignement supérieur et de la Recherche,Université de Guyane (9730429D),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.417,,,,"2091 route de Baduel, Campus de Troubiran",97300,Cayenne,97302,,,,973 - Guyane,Guyane,Guyane,03,-52.301616668701,4.9290019769536,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23733,15/06/2023,13/01/2026
