code_uai,n_siret,type_detablissement,nom,sigle,statut,tutelle,universite_de_rattachement_libelle_et_uai,universite_de_rattachement_id_et_url_onisep,etablissements_lies_libelles,etablissements_lies_url_et_id_onisep,boite_postale,adresse,cp,commune,commune_cog,cedex,telephone,arrondissement,departement,academie,region,region_cog,longitude_x,latitude_y,journees_portes_ouvertes,url_et_id_onisep,date_creation,date_de_modification
0624429C,19594403800205,école d'ingénieurs,École d'ingénieurs du littoral Côte d'Opale - site de Calais,EILCO,public,Ministère de l'Enseignement supérieur et de la Recherche,Université du Littoral Côte d'Opale (0595964M),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.370,École d'ingénieurs du littoral Côte d'Opale - site de Boulogne-sur-Mer à Boulogne-sur-Mer (62) | École d'ingénieurs du littoral Côte d'Opale - site de Dunkerque à Dunkerque (59) | École d'ingénieurs du littoral Côte d'Opale - site de Saint-Omer Longuenesse à Longuenesse (62),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22201 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16070 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17022,CS 30613,50 rue Ferdinand Buisson,62228,Calais,62193,Cedex,06 14 06 46 47,,62 - Pas-de-Calais,Lille,Hauts-de-France,32,1.87936,50.9538,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18587,06/06/2020,27/05/2026
0782075G,19781944400013,unité de formation et de recherche,UFR des sciences,,public,Ministère de l'Enseignement supérieur et de la Recherche,Université Versailles Saint-Quentin-en-Yvelines (0781944P),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.35,,,,45 avenue des Etats-Unis,78035,Versailles,78646,Cedex,01 39 25 41 12,,78 - Yvelines,Versailles,Ile-de-France,11,2.14996,48.8122,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12559,06/06/2020,23/12/2025
0540128W,13001550600889,école d'ingénieurs,École nationale supérieure des Mines de Nancy - site de Nancy,Mines Nancy,public,Ministère de l'Enseignement supérieur et de la Recherche,Université de Lorraine (0542493S),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.645,École nationale supérieure des Mines de Nancy - Institut supérieur d'ingénierie de la conception - site de Saint-Dié-des-Vosges à Saint-Dié-des-Vosges (88),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15181,BP 14234,"92 rue du Sergent Blandan, Campus Artem",54042,Nancy,54395,Cedex,03 72 74 48 00,,54 - Meurthe-et-Moselle,Nancy-Metz,Grand Est,44,6.1717522144318,48.672805129481,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12142,06/06/2020,19/02/2026
0753429V,20000068500012,école d'ingénieurs,École supérieure de physique et de chimie industrielles de la ville de Paris,ESPCI Paris - PSL,public,Ministère de l'Enseignement supérieur et de la Recherche,Université PSL,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.729,,,,10 rue Vauquelin,75005,Paris,75100,,01 40 79 44 00,05,75 - Paris,Paris,Ile-de-France,11,2.34753,48.8412,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1868,06/06/2020,08/09/2025
0690197P,84189203700042,grande école de commerce,emlyon Business School,em lyon,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,emlyon Business School à Paris (75),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5674,,144 avenue Jean Jaurès,69007,Lyon,69380,,04 78 33 78 00,07,69 - Rhône,Lyon,Auvergne-Rhône-Alpes,84,4.9494665,45.7696253,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2735,06/06/2020,19/05/2026
0760164R,19760164400028,école d'architecture,École nationale supérieure d'architecture de Normandie,ENSA,public,Ministère de la Culture et de la communication,,,,,BP 04,27 rue Lucien Fromage,76160,Darnétal,76212,Cedex,02 32 83 42 20,,76 - Seine-Maritime,Normandie,Normandie,28,1.13619,49.4382,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7649,06/06/2020,03/06/2025
0420094Z,18009202500105,école d'ingénieurs,École nationale supérieure des mines de Saint-Étienne - campus de Saint-Étienne,MSE,public,"Ministère chargé de l'Économie, des Finances et de la Souveraineté industrielle et numérique",,,École nationale supérieure des mines de Saint-Étienne - Campus Provence à Gardanne (13),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11174,,158 cours Fauriel,42023,Saint-Etienne,42218,Cedex 02,04 77 42 01 23,,42 - Loire,Lyon,Auvergne-Rhône-Alpes,84,4.40983,45.4218,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9586,06/06/2020,10/12/2025
0440112H,83474886500013,grande école de commerce,Audencia Business School,,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,Audencia Business School à La Roche-sur-Yon (85) | Audencia Business School à Saint-Ouen (93) | Audencia Business School à Nantes (44) | Audencia SciencesCom à Nantes (44),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15411 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23462 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24922 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8518,BP 31222,"8 route de la Jonelière, Atlantic Campus",44312,Nantes,44109,Cedex 03,02 40 37 34 34,,44 - Loire-Atlantique,Nantes,Pays de la Loire,52,-1.55272,47.2468,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6686,06/06/2020,24/02/2026
0382778N,81738914100018,grande école de commerce,GEM - Alpine Business School,GEM,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,GEM - Alpine Business School à Pantin (93),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19290,,12 rue Pierre Sémard,38000,Grenoble,38185,,04 76 70 60 60,,38 - Isère,Grenoble,Auvergne-Rhône-Alpes,84,5.7131427526474,45.190248893033,"du 01/09/2025 au 30/06/2026, en virtuel (sessions de septembre à juin sur les divers programmes. Les dates précises figurent sur le site web de l'école) voir https://www.grenoble-em.com/evenements",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2578,06/06/2020,19/03/2026
0753493P,19753493600012,école d'ingénieurs,École nationale supérieure des mines de Paris - Campus de Paris,Mines Paris - PSL,public,"Ministère chargé de l'Économie, des Finances et de la Souveraineté industrielle et numérique",Université PSL,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.729,,,,60 boulevard Saint-Michel,75272,Paris,75100,Cedex 06,01 40 51 90 00,06,75 - Paris,Paris,Ile-de-France,11,2.33967,48.8456,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2427,06/06/2020,01/12/2025
0542455A,93145678400038,grande école de commerce,ICN Business School,ICN BS,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,ICN Business School à Puteaux (92),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12128,CS 70148,86 rue du Sergent Blandan,54003,Nancy,54395,Cedex,03 54 50 25 38,,54 - Meurthe-et-Moselle,Nancy-Metz,Grand Est,44,6.1708027124405,48.674232711485,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2097,06/06/2020,07/01/2026
0062022R,38318157500028,école d'ingénieurs,EURECOM,,public,,,,,,,"450 route des Chappes, Campus SophiaTech",06410,Biot,06018,,04 93 00 81 00,,06 - Alpes-Maritimes,Nice,Provence-Alpes-Côte d'Azur,93,7.07958,43.6135,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3697,06/06/2020,06/01/2026
0951931H,13002597600031,unité de formation et de recherche,UFR Sciences et techniques - site de Saint-Martin,,public,Ministère de l'Enseignement supérieur et de la Recherche,CY Cergy Paris Université (0952259P),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.262,Institut supérieur de mécanique de Paris à Saint-Ouen (93),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19204,BP 222,2 avenue Adolphe Chauvin,95302,Cergy,95127,Cedex,01 34 25 65 20,,95 - Val-d'Oise,Versailles,Ile-de-France,11,2.0853689,49.0435715,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3116,06/06/2020,10/03/2026
0750043P,20000069300024,école d'ingénieurs,École des ingénieurs de la ville de Paris,EIVP,public,Ministère de l'Enseignement supérieur et de la Recherche,Université Gustave Eiffel (0772894C),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.117,,,,80 rue de Rébeval,75019,Paris,75100,Cedex,01 56 02 61 20,10,75 - Paris,Paris,Ile-de-France,11,2.351567,48.879277,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3661,06/06/2020,17/02/2026
0670186N,19670186600010,école d'architecture,École nationale supérieure d'architecture de Strasbourg,ENSAS,public,Ministère de la Culture et de la communication,,,,,BP 10037,8 boulevard Wilson,67068,Strasbourg,67482,Cedex,03 88 32 25 35,,67 - Bas-Rhin,Strasbourg,Grand Est,44,7.73727,48.586,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10744,06/06/2020,01/12/2025
0442852L,18009202500121,école d'ingénieurs,École nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire - campus de Nantes,IMT ABPL,public,"Ministère chargé de l'Économie, des Finances et de la Souveraineté industrielle et numérique",,,École nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire - campus de Brest à Brest (29) | École nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire - campus de Rennes à Cesson-Sévigné (35) | École nationale supérieure Mines-Télécom Nord Europe - campus de Douai à Douai (59) | École nationale supérieure Mines-Télécom Nord Europe - campus de Dunkerque à Dunkerque (59) | École nationale supérieure Mines-Télécom Nord Europe - campus de Lille à Villeneuve-d'Ascq (59) | École nationale supérieure Mines-Télécom Nord Europe - InGHénia - campus de Valenciennes à Aulnoy-lez-Valenciennes (59) | École nationale supérieure Mines-Télécom Nord Europe - Polyvia formation - campus d'Alençon à Damigny (61) | Institut Mines-Télécom à Paris (75) | Institut Mines - Télécom École de Management à Evry-Courcouronnes (91) | Télécom SudParis - site de Palaiseau à Palaiseau (91),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15067 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17847 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11085 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17020 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2015 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13552 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4481 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.726 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10013 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17767,CS 20722,"4 rue Alfred Kastler, La Chantrerie",44307,Nantes,44109,Cedex 03,02 51 85 81 00,,44 - Loire-Atlantique,Nantes,Pays de la Loire,52,-1.5203837,47.280962,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5638,06/06/2020,28/11/2025
0841264T,19840685200204,unité de formation et de recherche,"Institut culture, patrimoine, sociétés numériques - Campus Hannah Arendt",ICPSN,public,Ministère de l'Enseignement supérieur et de la Recherche,Avignon Université (0840685N),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.374,,,,74 rue Louis Pasteur,84029,Avignon,84007,Cedex 01,04 90 16 25 00,,84 - Vaucluse,Aix-Marseille,Provence-Alpes-Côte d'Azur,93,4.81758,43.9501,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6203,06/06/2020,01/10/2025
0922369A,40285022600018,grande école de commerce,École de management Léonard de Vinci,EMLV,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,École de management Léonard de Vinci à Montpellier (34) | École de management Léonard de Vinci à Nantes (44) | École supérieure d'ingénieurs Léonard de Vinci - campus de Paris à Courbevoie (92) | Institut de l'internet et du multimédia à Courbevoie (92),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25585 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25586 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8496 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2739,,12 avenue Léonard de Vinci,92916,Courbevoie,92026,Cedex,01 81 00 28 48,,92 - Hauts-de-Seine,Versailles,Ile-de-France,11,2.2364741563797,48.896479110934,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15525,06/06/2020,22/01/2026
0900024M,34022316300023,autre établissement d'enseignement,Conservatoire national des arts et métiers Bourgogne-Franche-Comté - Belfort,Cnam,public,Ministère de l'Enseignement supérieur et de la Recherche,Conservatoire national des arts et métiers (0753471R),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.223,Conservatoire national des arts et métiers Bourgogne-Franche-Comté - Besançon à Besançon (25),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25352,,"13 rue Ernest Thierry-Mieg, Campus UTBM",90000,Belfort,90010,,03 84 58 33 10,,90 - Territoire-de-Belfort,Besançon,Bourgogne-Franche-Comté,27,6.84501,47.6416,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19364,06/06/2020,18/12/2025
0693364G,32014055100021,école d'ingénieurs,ITECH Lyon,,privé,,,,,,,87 chemin des Mouilles,69134,Ecully,69081,Cedex,04 72 18 04 80,,69 - Rhône,Lyon,Auvergne-Rhône-Alpes,84,4.7664,45.7874,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5329,06/06/2020,19/01/2026
0912423P,19940607500036,centre de formation de fonctionnaires,École normale supérieure Paris-Saclay,ENS,public,Ministère de l'Enseignement supérieur et de la Recherche,,,,,,4 avenue des Sciences,91190,Gif-sur-Yvette,91272,,01 81 87 50 00,,91 - Essonne,Versailles,Ile-de-France,11,2.164779603615,48.71291565,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1813,06/06/2020,10/06/2026
0912381U,13001422800089,école d'ingénieurs,École nationale de la statistique et de l'administration économique,ENSAE,public,"Ministère chargé de l'Économie, des Finances et de la Souveraineté industrielle et numérique",Institut polytechnique de Paris - établissement expérimental (0912403T),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.276,,,,5 avenue Henry le Chatelier,91120,Palaiseau,91477,,01 70 26 67 00,,91 - Essonne,Versailles,Ile-de-France,11,2.2074017,48.7107498,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14353,06/06/2020,06/01/2026
0754969U,89003049700022,école d'art,Gobelins Paris - Campus Saint-Marcel,,privé,Chambre de commerce et d'industrie,,,Gobelins Paris - Campus Gambetta à Paris (75),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18402,,73 boulevard Saint-Marcel,75013,Paris,75100,,01 40 79 92 79,13,75 - Paris,Paris,Ile-de-France,11,2.35345,48.837308,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3548,06/06/2020,20/05/2026
0630109B,81234979300016,grande école de commerce,Clermont School of Business (ex ESC Clermont BS),,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,,,,4 boulevard Trudaine,63000,Clermont-Ferrand,63113,,04 73 98 24 24,,63 - Puy-de-Dôme,Clermont-Ferrand,Auvergne-Rhône-Alpes,84,3.0909208098222,45.7781276,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14576,06/06/2020,03/02/2026
0692566P,13000288400018,école d'ingénieurs,ENTPE Lyon,,public,Ministère chargé de la transition écologique et de l'aménagement du territoire,,,,,,Rue Maurice Audin,69518,Vaulx-en-Velin,69256,,04 72 04 70 70,,69 - Rhône,Lyon,Auvergne-Rhône-Alpes,84,4.92297,45.7783,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14534,06/06/2020,12/01/2026
0134016V,13001533200013,unité de formation et de recherche,Faculté d'économie et de gestion - Campus Aix - site Pauliane,FEG - Pauliane,public,Ministère de l'Enseignement supérieur et de la Recherche,Aix-Marseille Université (0134009M),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.643,,,,424 chemin du viaduc,13080,Aix-en-Provence,13001,,04 12 23 18 31,,13 - Bouches-du-Rhône,Aix-Marseille,Provence-Alpes-Côte d'Azur,93,5.4492,43.5188,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13843,06/06/2020,03/12/2025
0310152X,19310152400018,école d'ingénieurs,Institut national des sciences appliquées de Toulouse - site de Toulouse,INSA Toulouse,public,Ministère de l'Enseignement supérieur et de la Recherche,,,,,,135 avenue de Rangueil,31077,Toulouse,31555,Cedex 04,05 61 55 95 13,,31 - Haute-Garonne,Toulouse,Occitanie,76,1.46794,43.5704,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17074,06/06/2020,26/11/2025
0601223D,19601223100169,école d'ingénieurs,Université de technologie de Compiègne,UTC,public,Ministère de l'Enseignement supérieur et de la Recherche,,,,,CS 60319,Rue du docteur Schweitzer,60203,Compiègne,60159,Cedex,03 44 23 44 23,,60 - Oise,Amiens,Hauts-de-France,32,2.79993,49.3999,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5705,06/06/2020,04/05/2026
0741510P,19730858800429,école d'ingénieurs,École polytechnique universitaire de Savoie - site d'Annecy,Polytech,public,Ministère de l'Enseignement supérieur et de la Recherche,Université Savoie Mont Blanc (0730858L),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.167,École nationale supérieure d'arts et métiers - campus Arts et Métiers de Chambéry à Le Bourget-du-Lac (73) | École polytechnique universitaire de Savoie - site de Chambery à Le Bourget-du-Lac (73),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19656 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11093,BP 80439,5 chemin de Bellevue,74944,Annecy,74010,Cedex,04 50 09 66 00,,74 - Haute-Savoie,Grenoble,Auvergne-Rhône-Alpes,84,6.1553804,45.9194127,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9971,06/06/2020,25/11/2025
0332984P,77572257201034,école d'ingénieurs,CESI école d'ingénieurs - campus de Bordeaux,CESI EI,privé,,,,CESI école d'ingénieurs - campus d'Aix-en-Provence à Aix-en-Provence (13) | CESI école d'ingénieurs - campus d'Angoulême à La Couronne (16) | CESI école d'ingénieurs - campus d'Arras à Arras (62) | CESI école d'ingénieurs - campus d'Orléans à Orléans (45) | CESI école d'ingénieurs - campus d'Orléans - site de Tours à Tours (37) | CESI école d'ingénieurs - campus de Brest à Guipavas (29) | CESI école d'ingénieurs - campus de Caen à Hérouville-Saint-Clair (14) | CESI école d'ingénieurs - campus de Dijon à Quetigny (21) | CESI école d'ingénieurs - campus de Grenoble à Meylan (38) | CESI école d'ingénieurs - campus de La Rochelle à Lagord (17) | CESI école d'ingénieurs - campus de Lille à Villeneuve-d'Ascq (59) | CESI école d'ingénieurs - campus de Lyon à Villeurbanne (69) | CESI école d'ingénieurs - campus de Montpellier à Mauguio (34) | CESI école d'ingénieurs - campus de Nancy à Vandoeuvre-lès-Nancy (54) | CESI école d'ingénieurs - campus de Nantes à Nantes (44) | CESI école d'ingénieurs - campus de Nice à Nice (06) | CESI école d'ingénieurs - campus de Paris Nanterre à Nanterre (92) | CESI école d'ingénieurs - campus de Pau à Pau (64) | CESI école d'ingénieurs - campus de Pau - site d'Assat à Assat (64) | CESI école d'ingénieurs - campus de Reims à Reims (51) | CESI école d'ingénieurs - campus de Rouen à Saint-Etienne-du-Rouvray (76) | CESI école d'ingénieurs - campus de Saint-Nazaire à Saint-Nazaire (44) | CESI école d'ingénieurs - campus de Strasbourg à Lingolsheim (67) | CESI école d'ingénieurs - campus de Toulouse à Labège (31) | CESI école d'ingénieurs - campus du Mans à Le Mans (72),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17173 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19231 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16951 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18195 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24916 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19242 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16823 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10172 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24918 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18742 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16982 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18688 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21960 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14955 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24925 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18712 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14918 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14862 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15613 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16550 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10564 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15933 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2658 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17876 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15804,CS 90113,"264 boulevard Godard, Immeuble Phénix",33070,Bordeaux,33063,Cedex,05 56 95 50 50,,33 - Gironde,Bordeaux,Nouvelle-Aquitaine,75,-0.577573,44.865,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3951,06/06/2020,23/10/2025
0753636V,81115576100067,grande école de commerce,EBS Paris,,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,,,,9 avenue Pierre de Coubertin,75013,Paris,75100,,01 81 51 15 10,13,75 - Paris,Paris,Ile-de-France,11,2.3445566,48.8184536,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9942,06/06/2020,03/02/2026
0951266K,77566395800046,grande école de commerce,ESSEC Business School,ESSEC BS,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,,,CS 50105,3 avenue Bernard Hirsch,95021,Cergy,95127,Cedex,01 34 43 30 00,,95 - Val-d'Oise,Versailles,Ile-de-France,11,2.07688,49.0342,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5744,06/06/2020,27/01/2026
0753488J,19753488600092,unité de formation et de recherche,Filière traitement automatique des langues,Inalco,public,Ministère de l'Enseignement supérieur et de la Recherche,Institut national des langues et civilisations orientales (0753488J),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.85,,,,65 rue des Grands Moulins,75013,Paris,75100,,01 81 70 11 36,13,75 - Paris,Paris,Ile-de-France,11,2.3757925,48.8274311,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18796,06/06/2020,18/12/2025
0760167U,83429535400015,grande école de commerce,NEOMA Business School,NEOMA BS,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,NEOMA Business School à Paris (75) | NEOMA Business School à Reims (51),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17222 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7867,BP 215,1 rue du Maréchal Juin,76825,Mont-Saint-Aignan,76451,Cedex,02 32 82 57 00,,76 - Seine-Maritime,Normandie,Normandie,28,1.0638982057571,49.463054899861,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15747,06/06/2020,16/01/2026
0753184D,88936649800034,autre établissement d'enseignement,"FERRANDI Paris, l'école française de gastronomie et de management hôtelier",,privé hors contrat,Chambre de commerce et d'industrie,,,CFA Ferrandi Paris - site de Paris à Paris (75) | CFA Ferrandi Paris - site de Saint-Gratien à Saint-Gratien (95) | École Ferrandi Paris - campus de Bordeaux à Bordeaux (33) | École Ferrandi Paris - campus de Rennes à Rennes (35),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19366 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11608 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22978 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22795,,30 rue de l'Abbé Grégoire,75006,Paris,75100,,01 49 54 28 00,06,75 - Paris,Paris,Ile-de-France,11,2.3255263,48.8473913,le 18/11/2026 de 13h30 à 17h30,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10492,06/06/2020,25/06/2026
0912255G,18009202500063,grande école de commerce,Institut Mines - Télécom École de Management,,public,"Ministère chargé de l'Économie, des Finances et de la Souveraineté industrielle et numérique",,,École nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire - campus de Brest à Brest (29) | École nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire - campus de Nantes à Nantes (44) | École nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire - campus de Rennes à Cesson-Sévigné (35) | École nationale supérieure Mines-Télécom Nord Europe - campus de Douai à Douai (59) | École nationale supérieure Mines-Télécom Nord Europe - campus de Dunkerque à Dunkerque (59) | École nationale supérieure Mines-Télécom Nord Europe - campus de Lille à Villeneuve-d'Ascq (59) | École nationale supérieure Mines-Télécom Nord Europe - InGHénia - campus de Valenciennes à Aulnoy-lez-Valenciennes (59) | École nationale supérieure Mines-Télécom Nord Europe - Polyvia formation - campus d'Alençon à Damigny (61) | Institut Mines-Télécom à Paris (75) | Télécom SudParis - site d'Évry à Evry-Courcouronnes (91) | Télécom SudParis - site de Palaiseau à Palaiseau (91),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15067 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5638 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17847 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11085 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17020 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2015 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13552 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4481 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.726 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18499 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17767,,9 rue Charles Fourier,91011,Evry-Courcouronnes,91228,Cedex,01 60 76 40 40,,91 - Essonne,Versailles,Ile-de-France,11,2.4430686235428,48.625122634847,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10013,06/06/2020,25/06/2026
0341523W,77609026800025,"lycée général, technologique ou polyvalent",Lycée privé polyvalent Saint-Joseph,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,,,BP 77,11 avenue Marx Dormoy,34202,Sète,34301,Cedex,04 67 53 69 10,,34 - Hérault,Montpellier,Occitanie,76,3.69314,43.4035,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13362,06/06/2020,05/03/2025
9740015Y,19974983900015,lycée professionnel,Lycée professionnel de Vue Belle,,public,Ministère chargé de l'Éducation nationale,,,,,BP 105,Chemin Vue belle,97422,Saint-Paul,97415,,02 62 33 69 33,,974 - La Réunion,La Réunion,La Réunion,04,55.271909,-21.079258,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1027,06/06/2020,09/01/2026
0590101P,19590101200011,"lycée général, technologique ou polyvalent",Lycée des Flandres,,public,Ministère chargé de l'Éducation nationale,,,Collège des Flandres à Hazebrouck (59) | Lycée professionnel des Monts de Flandre à Hazebrouck (59),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11513 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11836,BP 69,2 avenue des Flandres,59522,Hazebrouck,59295,Cedex,03 28 43 76 76,,59 - Nord,Lille,Hauts-de-France,32,2.53232,50.7289,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4441,06/06/2020,03/03/2025
