onisep_id,name
6268,École et observatoire des sciences de la Terre de Strasbourg
6294,École nationale supérieure du pétrole et des moteurs
6333,École nationale vétérinaire de Toulouse
6478,Institut national supérieur du professorat et de l'éducation de Bourgogne - site de Nevers
6568,Institut supérieur de l'automobile et des transports - site de Nevers
6686,Audencia Business School
6715,Institut d'études politiques (Sciences Po Bordeaux)
6736,Département études coréennes
6756,"CFA régional de l'enseignement supérieur en Languedoc Roussillon, Sud de France"
6769,École supérieure du commerce extérieur
6827,École normale supérieure de Lyon
6898,Filière commerce international
7219,École nationale vétérinaire d'Alfort
7358,ONIRIS VetAgroBio - Campus vétérinaire
7418,"École supérieure de chimie, physique, électronique de Lyon"
7479,3iL Ingénieurs - site de Limoges
7550,ISTY UVSQ - campus de Mantes en Yvelines
7646,Institut national des sciences appliquées de Rouen Normandie - site de Rouen
7649,École nationale supérieure d'architecture de Normandie
7774,École des hautes études en sciences sociales
7791,"INSA Hauts-de-France - campus du Mont Houy, UPHF"
7854,ESME - campus d'Ivry-sur-Seine
7967,École de biologie industrielle
8047,Institut catholique d'arts et métiers - site de Lille
8062,École polytechnique universitaire de Nantes Université
8064,École nationale supérieure de techniques avancées site de Palaiseau
8076,Rennes School of Business
8089,École du personnel paramédical du service de santé des Armées
8123,Institut catholique de Vendée
8174,École d'ingénieurs de Purpan
8262,Institut national des sciences appliquées de Rennes
8334,École d'ingénieurs généralistes
8340,Institut d'administration des entreprises - Grenoble INP
8400,Cnam sécurité défense
8496,École supérieure d'ingénieurs Léonard de Vinci - campus de Paris
8546,ECAM Louis de Broglie - campus de Rennes
8578,École nationale supérieure d'architecture de Nantes
8673,IUT de Saint-Pierre
8757,École polytechnique universitaire de Nantes Université
8774,École nationale supérieure de l'électronique et de ses applications
8823,IESEG School of Management
8838,Filière didactique des langues
8853,Burgundy School of Business
8949,École nationale supérieure de chimie de Rennes
8969,École nationale supérieure des ingénieurs en arts chimiques et technologiques - Toulouse INP
8991,École nationale supérieure d'architecture et de paysage de Bordeaux
8995,Faculté de droit et science politique
9011,Départements de formation et recherche
9048,École nationale supérieure d'arts et métiers - campus Arts et Métiers de Cluny
9068,La maison des langues
9070,UFR Lettres et sciences humaines
9238,École supérieure d'ingénieurs Réunion Océan Indien
9354,CESI - campus d'Angoulême
9383,École nationale supérieure de mécanique et d'aérotechnique
9409,Académie militaire de la gendarmerie nationale
9410,École nationale supérieure d'architecture de la ville & des territoires Paris-Est
9532,Centrale Lyon ENISE (École nationale d'ingénieurs de Saint-Étienne de l'École centrale de Lyon)
9586,École nationale supérieure des mines de Saint-Étienne - campus de Saint-Étienne
9607,École nationale supérieure d'architecture de Toulouse
9610,École polytechnique universitaire de Bourgogne (ex ESIREM) - site de Dijon
9688,École d'ingénieurs SIGMA Clermont - Clermont Auvergne INP
9805,École des commissaires des armées
9906,Pôle Formation UIMM Lorraine - CFAI site de Maxéville
9942,EBS Paris
9971,École polytechnique universitaire de Savoie - site d'Annecy
10013,Institut Mines - Télécom École de Management
10072,École nationale des ponts et chaussées - site de Champs-sur-Marne
10113,École supérieure d'ingénieurs des travaux de la construction de Metz
10130,Institut supérieur de l'électronique et du numérique Yncréa Ouest - campus de Brest
10147,École nationale supérieure d'arts et métiers - campus Arts et Métiers d'Angers
10170,Cnam Grand Est - site de Reims
10172,CESI école d'ingénieurs - campus de Dijon
10298,École nationale d'ingénieurs de Brest - Bretagne INP
10300,École navale
10466,École supérieure d'informatique électronique automatique - campus de Paris
10492,"FERRANDI Paris, l'école française de gastronomie et de management hôtelier"
10564,CESI école d'ingénieurs - campus de Rouen
10600,SKEMA Business School
10652,Pôle licences
10660,École polytechnique universitaire de l'université d'Aix-Marseille - site de Luminy
10744,École nationale supérieure d'architecture de Strasbourg
10745,École supérieure de biotechnologie de Strasbourg
10761,École des hautes études en sciences de l'information et de la communication
10764,IUT de Vélizy (antenne de Rambouillet)
10793,IUT de Kourou (antenne de Cayenne)
10818,Institut national des sciences et techniques nucléaires
10835,École nationale supérieure des Mines d'Albi - IMT Mines Albi
10841,"ENS d'électrotechnique, électronique, informatique, hydraulique, télécommunications - Toulouse INP"
11041,Institut d'optique théorique et appliquée - campus de Palaiseau
11085,École nationale supérieure Mines-Télécom Nord Europe - campus de Douai
11121,UFR des sciences sociales
11125,EDC Paris
11155,Faculté de médecine
11250,ENSIL-ENSCI - site de Limoges
11390,École nationale supérieure des technologies et industries du bois
11412,Institut polytechnique des sciences avancées - campus d'Ivry-sur-Seine
11494,Institut supérieur du commerce de Paris
11497,Centre de formation des journalistes
11548,École nationale supérieure d'ingénieurs de Reims
11594,École nationale supérieure d'architecture de Lyon
11747,École nationale supérieure d'informatique pour l'industrie et l'entreprise
11784,Service formation continue et alternance Université Rennes
11919,École supérieure de chimie organique et minérale
11922,Institut national des sciences et techniques nucléaires
11930,Institut d'études politiques (Sciences Po Lyon)
11946,École nationale de la météorologie
11957,École de l'air et de l'espace
12077,École nationale de la statistique et de l'analyse de l'information
12142,École nationale supérieure des Mines de Nancy - site de Nancy
12264,École polytechnique universitaire de l'université de Montpellier - site de Montpellier
12346,CFA CCIV-ESSEC (siège administratif)
12352,Département études russes
12431,Institut national des sciences appliquées de Strasbourg
12523,Institut d'études politiques (Sciences Po Rennes)
12533,École nationale supérieure d'arts et métiers - campus Arts et Métiers de Bordeaux Talence
12559,UFR des sciences
12767,ACESTE-Conservatoire national des arts et métiers
12854,École du Louvre
12902,ISTEC Paris
12996,École nationale supérieure d'architecture de Saint-Étienne
13094,Montpellier Business School
13213,"École nationale supérieure de l'énergie, l'eau et l'environnement - Grenoble INP-UGA"
13238,Institut supérieur d'ingénieurs de Franche-Comté
13250,Institut national des sciences appliquées de Lyon - site de Lyon
13277,École nationale supérieure de Chimie de Paris - PSL
13282,Filière relations internationales
13406,Campus Supérieur de Marseille - ISBA TP
13458,Institut d'études politiques (Sciences Po Lille)
13656,École nationale supérieure des Mines d'Alès - IMT Mines Alès
13694,École supérieure des technologies industrielles avancées
13843,Faculté d'économie et de gestion - Campus Aix - site Pauliane
14008,École nationale supérieure d'informatique et de mathématiques appliquées - Grenoble INP-UGA
14043,UFR Santé
14198,École polytechnique
14251,Institut d'études politiques (Sciences Po Toulouse)
14353,École nationale de la statistique et de l'administration économique
14393,Département Asie du Sud Est et Pacifique
14494,École nationale supérieure de chimie de Montpellier
14534,ENTPE Lyon
14564,Télécom Nancy - Lorraine INP
14576,Clermont School of Business (ex ESC Clermont BS)
14586,École nationale supérieure d'arts et métiers - campus Arts et Métiers d'Aix-en-Provence
14604,CNAM Saint-Denis
14692,École nationale supérieure d'ingénieurs Sud Alsace
14715,École supérieure d'arts et médias de Caen - Cherbourg - site de Caen
14862,CESI école d'ingénieurs - campus de Pau
14891,Département de l'enseignement du Français à l'International
