Etablissement,Siret,# adhérent,Conférence,UAI,Acronyme,Type de structure,Statut,Nom de marque,Type de formation,Commentaire,Campus
École nationale supérieure des mines d'Alès,18009202500113,663,"CGE, CDEFI",030 0063F,IMT Mines Alès,EPSCP,Public,,Ingénieur,,
"Ecole nationale supérieure des Mines
  d'Albi-Carmaux",18009202500097,664,CGE,0811200P,IMT Mines Albi,EPA,Public,IMT Mines Albi,Ingénieur,,
"Ecole nationale supérieure Mines-Télécom
  Atlantique Bretagne-Pays de la Loire",18009202500121,914,"CGE, CDEFI",0291811L,IMT Atlantique Bretagne-Pays de la Loire,EPSCP,Public,,Ingénieur,,
École nationale supérieure des mines de Saint-Étienne,18009202500105, ,CDEFI,,"IMT - Mines
  Saint-Étienne",,,,,,
INSEEC Grande École,31240903000102,807,CGE,0754500J,IGE,Association loi 1901,Privé,INSEEC Grande École,Manager,,
"IFP School - Ecole Nationale Supérieure
  du Pétrole et des Moteurs - ENSPM",77572915500124,798,"CGE, CDEFI",0920815L,IFP School,EPIC,Public,IFP School,Ingénieur,,
Institut Français de la Mode,33345298500034,796,CGE,0754566F,IFM,Association loi 1901 # EESPIG,Privé,,Autre spécialité,,
IESEG School of Management,78370705200032,795,CGE,0593202K,IESEG,Association loi 1901 # EESPIG,Privé,IÉSEG School of Management,Manager,,
"Institut d'Etudes Politiques de Rennes -
  Sciences Po Rennes",19352317200016,926,CGE,0352317D,IEP Rennes,EPA,Public,,Autre spécialité,,
"Institut d’Etudes Politiques de Lille –
  Sciences Po Lille",19595876400035,900,CGE,0595876S,IEP Lille,EPA,Public,,Autre spécialité,,
ICN Business School,93145678400020,794,CGE,0542455A,ICN Business School,Association loi 1901 # EESPIG,Privé,ICN Business School,Manager,,
"Institut catholique d’études
  supérieures (ICES) de Vendée",37920430800033,954,CGE,0851415B,ICES,Association loi 1901 # EESPIG,Privé,ICES,Autre spécialité,,
"Institut International du Commerce et du
  Développement",31814740200099,911,CGE,0753147N,ICD International Business School,Association loi 1901,Privé,ICD International Business School,Manager,,
Institut catholique d'arts et métiers,78370697100018,959,"CGE, CDEFI",0755373H,ICAM,Association loi 1901 # EESPIG,Privé,Groupe ICAM,Ingénieur,,"Lille, Strasbourg, Toulouse, Grand Paris Sud, Ouest"
Hautes Etudes Commerciales de Paris,81775918600023,789,CGE,0783054W,HEC Paris,SAESC,EESC,HEC Paris,Manager,,
Groupe INSA,84186445700012, ,CDEFI,,Groupe INSA,,,,,,
"Ecole nationale supérieure de physique,
  électronique et matériaux",19381912500272,786,"CGE, CDEFI",0383395J,Grenoble INP - PHELMA,,Public,,Ingénieur,,
"Ecole internationale du papier, de la
  communication imprimée et des biomatériaux",19381912500017,785,"CGE, CDEFI",0383397L,Grenoble INP - Pagora,Grand établissement,Public,,Ingénieur,,
"Ecole Nationale Supérieure de Génie
  Industriel",19381912500256,784,"CGE, CDEFI",0383398M,Grenoble INP - Génie Industriel,Public,,Ingénieur,,,
"Ecole Nationale Supérieure en Système
  Avancés et Réseaux",19381912500249,896,"CGE, CDEFI",0261459V,Grenoble INP - ESISAR,,Public,,Ingénieur,,
"Ecole nationale supérieure d'informatique
  et de mathématiques appliquées de Grenoble",19381912500231,783,"CGE, CDEFI",0383399N,Grenoble INP - ENSIMAG,,Public,,Ingénieur,,
"Ecole nationale supérieure de l'énergie,
  l'eau et l'environnement",19381912500280,782,"CGE, CDEFI",0383396K,Grenoble INP - Ense3,,Public,,Ingénieur,,
"Grenoble IAE - INP, UGA",19381912500017,972 ; 35,"CGE, FU",0383336V,"Grenoble IAE - INP, UGA",Autre (Ecole interne d'une école),Public,"Grenoble IAE - INP, UGA",Manager,,
"GOBELINS – CCI Paris Île-de-France
  Éducation",89003049700022,963,CGE,754928Z,GOBELINS Paris,SAESC,EESC,GOBELINS Paris,Ecole affiliée,,
"Ecole nationale des sciences
  géographiques",18006701900372,703,"CGE, CDEFI",0772496V,Géodata Paris,,Public,,Ingénieur,,
GEM Alpine Business School,81738914100018,780,CGE,0382778N,GEM Alpine Business School,SAESC # Société à mission,EESC,GEM Alpine Business School,Manager,,
Ferrandi Paris,88936649800034,961,CGE,0753184D,Ferrandi Paris,SAESC,EESC,Ferrandi Paris,Ecole affiliée,,
Excelia Business School ,34876850800015,739,CGE,0171427J,Excelia Business School ,Association loi 1901 # EESPIG,Privé,Excelia Business School,Manager,,
Ecole du Val de Grace,87763918700013,873,CGE,,EVDG,,Public,,Autre spécialité,,
EURECOM,38318157500028,975,"CGE, CDEFI",0062022R,EURECOM,GIE,Privé,EURECOM,Ingénieur,,
"ESTP - Grande école d'ingénieurs de la
  construction",32500211100012,771,"CGE, CDEFI",0753607N;0942340H,ESTP,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
"Ecole supérieure des technologies
  industrielles avancées",82445767500059,770,"CGE, CDEFI",0641923T,ESTIA,SAESC,EESC,,Ingénieur,,
"Ecole supérieure des techniques
  aéronautiques et de construction automobile",78425950900080,769,"CGE, CDEFI",0783664J;0921929X,ESTACA,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
"Ecole supérieure des sciences économiques
  et commerciales",77566395800046,767,CGE,0951214D,ESSEC,Association loi 1901 # EESPIG,Privé,ESSEC Business School,Manager,,
ESSCA School of Management,78611672300010,766,CGE,0490076S,ESSCA,Association loi 1901 # EESPIG,Privé,ESSCA,Manager,,
"Ecole supérieure de physique et de chimie
  industrielles de la Ville de Paris",20000068500012,762,"CGE, CDEFI",0753429V,ESPCI Paris,,Public,,Ingénieur,,
École spéciale de mécanique et d'électricité,44263925800031,761,"CGE, CDEFI",0753574C;0941953M,ESME-SUDRIA,SA # Société à mission,Privé,,Ingénieur,,
École d'ingénieurs de l'université de Caen,19141408500016,33,"CDEFI, FU",,ESIX Normandie,,,,,,
"École supérieure d'ingénieurs des travaux de la construction de
  Paris",39433164900027, ,CDEFI,,ESITC Paris,,,,,,
"École supérieure d'ingénieurs des travaux de la construction de
  Metz",38901300400012, ,CDEFI,,ESITC Metz,,,,,,
École nationale supérieure d'ingénieurs de Reims,19511296600435, ,CDEFI,,ESIReims,,,,,,
"École Supérieure d'Ingénieurs Léonard de
  Vinci",82139268500011,893,"CGE, CDEFI",0922563L,ESILV,Association loi 1901,Privé,,Ingénieur,,
École supérieure d'ingénieurs en génie électrique,41370111100028,756,"CGE, CDEFI",0762378X,ESIGELEC,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
ESIEE-IT – CCI Paris Île-de-France Education,88931074400020, ,CDEFI,,ESIEE-IT,,,,,,
École supérieure d'ingénieurs en électronique et électrotechnique,13001727000146,885,"CGE, CDEFI",0932019P,ESIEE Paris, ,Consulaire,,Ingénieur,,
"Ecole Supérieure d'Informatique
  Electronique Automatique",31134913800017,752,"CGE, CDEFI",0753560M,ESIEA,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
École supérieure de fonderie et de forge,77568801300041, ,CDEFI,,ESFF,,,,,,
"École supérieure d'électronique de
  l'ouest",78611671500065,750,"CGE, CDEFI",0490075R,ESEO,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
ESDES Ecole de management,32693006200145,749,CGE,0691503J,ESDES Ecole de management,Association loi 1901 # EESPIG,Privé,,Manager,,
ESCP Business School,82464458700027,748,CGE,0753547Y,ESCP Business School,SAESC,EESC,ESCP Business School,Manager,,
"Ecole Supérieure de Chimie Organique et
  Minérale",78428076000033,747,"CGE, CDEFI",0602099F;0951803U,ESCOM,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
Ecole Supérieure du Commerce Extérieur,78471352100069,872,CGE,0923009W,ESCE,SAS,Privé,ESCE,Manager,,
École supérieure de biotechnologie de Strasbourg,13000545700093, ,CDEFI,,ESBS,,,,,,
Ecole supérieure du bois,78452130400021,733,"CGE, CDEFI",0442278M,ESB,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
"école supérieure d’arts & médias de
  Caen/Cherbourg",20002813200013,950,CGE,0141432F,ésam Caen/Cherbourg,EPCC,Public,ésam Caen/Cherbourg,Autre spécialité,,
"Ecole supérieure angevine d'informatique
  et de productique",37920438100014,732,"CGE, CDEFI",0492246A,ESAIP,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
Ecole Spéciale d'Architecture,78457366900016,731,CGE,0753533H,ESA Paris,Association loi 1901 # EESPIG,Privé,,Autre spécialité,,
Ecole de santé des armées de Lyon-Bron,19690189600015,765,CGE,0690190G,ESA Lyon-Bron,,Public,,Autre spécialité,,
Ecole Supérieure d'Agricultures d'Angers,34238263700011,730,CGE,0490072M,ESA Angers,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
École pour l'informatique et les techniques avancées,89819207500015,901,"CGE, CDEFI",0942095S,EPITA,SAS # Société à mission,Privé,,Ingénieur,,
EPF-Ecole d'ingénieurs,39110158100067,728,"CGE, CDEFI",0942500G;0920674H,EPF,EESPIG # Fondation,Privé,,Ingénieur,,Troyes ; Montpellier ; Cachan
École et observatoire des sciences de la Terre,13000545700069, ,CDEFI,,EOST,,,,,,
Ecole nationale vétérinaire de Toulouse,19310153200011,723,CGE,0310153Y,ENVT,EPA,Public,,Autre spécialité,,
Ecole nationale vétérinaire  d'Alfort,19940608300014,722,CGE,0940608A,ENV Alfort,EPA,Public,,Autre spécialité,,
"Ecole de l’aménagement durable des
  territoires",13000288400018,721,"CGE, CDEFI",0692566P,ENTPE,EPSCP # Grand établissement,Public,,Ingénieur,,
"Ecole nationale supérieure des
  technologies et industries du bois",13001550600699,720,"CGE, CDEFI",0881586W,ENSTIB,,Public,,Ingénieur,,
"Ecole nationale supérieure de techniques
  avancées",19750003600029,719,"CGE, CDEFI",0912318A,ENSTA,EPSCP,Public,,Ingénieur,,
"École nationale supérieure des sciences appliquées et de
  technologie de Lannion",19350936100278,717,"CGE, CDEFI",0221809X,ENSSAT,EPSCP,Public,Enssat,Ingénieur,,
