Etablissement,Siret,# adhérent,Conférence,UAI,Acronyme,Type de structure,Statut,Nom de marque,Type de formation,Commentaire,Campus
"Ecole européenne de Chimie Polymères et
  Matériaux de Strasbourg",43350831400062,647,"CGE, CDEFI",0672792W,ECPM,,Public,,Ingénieur,,
École polytechnique - X,19911568400011,727,CGE,0911568K,École polytechnique,EPSCP # Grand établissement,Public,,Ingénieur,,
École navale,15000096600013, ,CDEFI,,École navale,,,,,,
ÉCOLE DE CONDÉ,42334912500033,965,CGE,0754987N,ÉCOLE DE CONDÉ,SAS,Privé,école de condé,Ecole affiliée,,
École centrale d’électronique,37936409400027,645,"CGE, CDEFI",0754431J,ECE école d'ingénieurs,Association loi 1901,Privé,ECE école d’ingénieurs - engineering school,Ingénieur,,
"Ecole d'Electricité, de Production et des
  Méthodes Industrielles - Réseau ECAM (Cergy-Pontoise)",38896452000018,729,"CGE, CDEFI",0951819L,ECAM-EPMI,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
ECAM Louis de Broglie ,37910309600051,644,CGE,0352337A,ECAM Louis de Broglie ,Association loi 1901 # EESPIG,Privé,ECAM Louis de Broglie,Ingénieur,,
École catholique d'arts et métiers,77988344600014,643,"CGE, CDEFI",0690194L,ECAM LaSalle,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
European Business School,81115576100067,918,CGE,0753636V,ebs Paris,Association loi 1901,Privé,EBS PARIS,Manager,,
Ecole de Biologie Industrielle,38859163800035,637,"CGE, CDEFI",0951820M,EBI,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
Ecole de l'Air et de l'Espace,13002454000010,636,"CGE, CDEFI",0130230E,EAE,EPSCP # Grand établissement,Public,Ecole de l'air et de l'espace,Ingénieur,,
CY Tech,13002597600015,657 ; 65,"CGE, CDEFI, FU",0951931H,CY Tech,Grand établissement,Public,,Ingénieur,,
"Ecole supérieure de chimie physique
  électronique de Lyon",39189510900026,633,"CGE, CDEFI",0693623N,CPE Lyon,Association loi 1901 # EESPIG,Privé,,Ingénieur,,
"Conservatoire national des arts et
  métiers",19753471200017,629 ; 44,"CGE, FU",0753471R,CNAM,EPSCP # Grand établissement,Public,,Ingénieur,,
Clermont School of Business,81234979300016,902,CGE,0630109B,Clermont School of Business,Association loi 1901,Privé,Clermont School of Business,Manager,,
"École polytechnique universitaire de l'Institut national
  polytechnique Clermont Auvergne",13002191800029, ,CDEFI,,Clermont Auvergne INP - Polytech Clermont,,,,,,
"Institut supérieur d'informatique, de modélisation et de leurs
  applications",13002191800037, ,CDEFI,,Clermont Auvergne INP - ISIMA,,,,,,
Institut national polytechnique Clermont Auvergne,13002191800011,109,"CDEFI, FU",,Clermont Auvergne INP,,,,,,
"Ecole nationale supérieure de chimie de
  Paris",13002142100016,628 ; 105,"CGE, CDEFI, FU",075.33.75 L,Chimie ParisTech,EPSCP,Public,,Ingénieur,,
Centre de formation des journalistes,45035532600023,626,CGE,0753635U,CFJ,Association loi 1901 # EESPIG,Privé,,Autre spécialité,,
CESI École d’Ingénieurs,77572257201109,655,"CGE, CDEFI",0922455U;0755372G,CESI École d’Ingénieurs,Association loi 1901,Privé,,Ingénieur,,
CentraleSupélec,13002076100016,898,"CGE, CDEFI",0912341A,CentraleSupélec,EPSCP # Grand établissement,Public,,Ingénieur,,
Ecole centrale de Nantes,19440100600011,641,"CGE, CDEFI",0440100V,Centrale Nantes,EPSCP,Public,,Ingénieur,,
École Centrale Méditerranée,19133340000015,640,"CGE, CDEFI",0133774G,Centrale Méditerranée,EPSCP,Public,,Ingénieur,,
"Ecole nationale d'ingénieurs de Saint
  Etienne",19420093700010,676,"CGE, CDEFI",0420093Y,Centrale Lyon ENISE,Autre (Ecole interne d'une école),Public,,Ingénieur,,
École Centrale de Lyon,19690187000010,639 ; 75,"CGE, CDEFI, FU",0690187D,Centrale Lyon,EPSCP,Public,,Ingénieur,,
Centrale Lille Institut,19590349700012,638,"CGE, CDEFI",0597139P,Centrale Lille,EPSCP,Public,,Ingénieur,,
"École des hautes études en sciences de
  l'information et de la communication",13002338500037,624,CGE,0921509R,CELSA Sorbonne-Université,Public,CELSA,Autre spécialité,,,
"Ecole supérieure d'ingénieurs des travaux
  de la construction de Caen",40316268800010,758,"CGE, CDEFI",0142182W,BUILDERS École d'ingénieurs,Association loi 1901 # EESPIG,Privé,BUILDERS École d'ingénieurs,Ingénieur,,
"Ecole supérieure de commerce de
  Dijon-Bourgogne",78970477200019,738,CGE,0210099U,BSB - Burgundy School of Business,SAESC,EESC,BURGUNDY SCHOOL OF BUSINESS,Manager,,
Institut national polytechnique de Bretagne,19290119700025, ,CDEFI,,Bretagne INP,,,,,,
"Ecole nationale supérieure
  d'électronique, informatique, télécommunications, mathématique et mécanique
  de Bordeaux",13000635600047,700,CGE,033 32 39 S,Bordeaux-INP - ENSEIRB-MATMECA,Grand établissement,Public,,Ingénieur,,
"Ecole Nationale Supérieure des Sciences
  Agronomiques de Bordeaux Aquitaine",19330203100011,677,"CGE, CDEFI",0330203S,Bordeaux Sciences Agro,EPA,Public,,Ingénieur,,
"École nationale supérieure pour la performance industrielle et la
  maintenance aéronautique",13000635600096, ,CDEFI,,Bordeaux INP - ENSPIMA,,,,,,
Brest Business School,81263551400019,899,CGE,0290127F,BBS,Association loi 1901,Privé,BREST BUSINESS SCHOOL,Manager,,
Audencia,83474886500013,618,CGE,0440112H,Audencia,SAESC,EESC,Audencia Business School,Manager,,
Ecole Nationale Supérieure d'Arts et Métiers - ENSAM,19753472000010,687,"CGE, CDEFI",0753237L,Arts et Métiers ,EPSCP # Grand établissement,Public,Arts et Métiers Sciences et Technologies,Ingénieur,,
Académie Militaire de Saint-Cyr Coëtquidan,77782114100010,760,CGE,0560068V,AMSCC,,Public,,Autre spécialité,,
Académie Militaire de la Gendarmerie Nationale,15700010000055,724,CGE,0772493S,AMGN,,Public,,Autre spécialité,,
Institut national des Sciences et Industries du Vivant et de l'Environnement,13000285000134,585,"CGE, CDEFI",0912456A,AgroParisTech,EPSCP,Public,,Ingénieur,,
3iL Ingénieurs,39770462800015,947,"CGE, CDEFI",0875012A;0870997L,3iL Ingénieurs,Association loi 1901 # EESPIG,Privé,3iL Ingénieurs,Ingénieur,,
INSA de Toulouse ,1931015240018,2,FU,,,,,,,,
Universite Nouvelle Caledonie ,13000322100012,52,FU,,,,,,,,
Ecole Normale Supérieure de Lyon,13000812100019,87,FU,,,,,,,,
Aix Marseille Université,13001533200013,56,FU,,,,,,,,
CURF de Mayotte,13001631400010,41,FU,,,,,,,,
Campus Condorcet,13001637100036,108,FU,,,,,,,,
Université de Bordeaux,13001835100010,101,FU,,,,,,,,
Ecole Normale Supérieure de Rennes,13001848400019,102,FU,,,,,,,,
Universite de Guyane,13002059700014,40,FU,,,,,,,,
comUE d’universités et établissements de Toulouse ,13002132200016,93,FU,,,,,,,,
comUE Normandie Université,13002133000019,98,FU,,,,,,,,
comUE Universite de Lyon,13002136300010,92,FU,,,,,,,,
comUE Hesam,13002144700011,96,FU,,,,,,,,
IPP,13002562000019,110,FU,,,,,,,,
"Univ Polytechnique
  Hauts-de-France",13002574500014,23,FU,,,,,,,,
Universite Paris Saclay ,13002602400054,51,FU,,,,,,,,
Université Grenoble Alpes,13002608100013,104,FU,,,,,,,,
Université Gustave Eiffel ,13002612300013,84,FU,,,,,,,,
Universite Paris Sciences Lettres  PSL ,13002614900018,99,FU,,,,,,,,
Université Clermont Auvergne ,13002806100013,91,FU,,,,,,,,
comUE Universite Paris Est,13002807900015,94,FU,,,,,,,,
Universite de Nantes ,13002974700016,53,FU,,,,,,,,
Universite de Lille  ,13002975400012,4,FU,,,,,,,,
Universite de Montpellier ,13002979600013,37,FU,,,,,,,,
Universite Panthéon-Assas Paris2,13002995200012,28,FU,,,,,,,,
Universite Rennes 1,13003051300019,85,FU,,,,,,,,
Universite de Toulouse  Capitole,13003061200019,16,FU,,,,,,,,
Ecole française d'Extreme Orient,18004411700018,111,FU,,,,,,,,
Museum National histoire Naturelle,18004417400019,50,FU,,,,,,,,
Universite de la Rochelle ,19170032700015,61,FU,,,,,,,,
Universite de Corse ,19202664900264,26,FU,,,,,,,,
Universite de Bretagne Occidentale ,19290346600014,78,FU,,,,,,,,
Universite de Toulouse 2 Jean-Jaurès (le Mirail),19311383400017,70,FU,,,,,,,,
Universite Michel de Montaigne Bordeaux,19331766600017,68,FU,,,,,,,,
Universite Rennes 2,19350937900015,14,FU,,,,,,,,
Universite d' Orléans ,19450855200016,48,FU,,,,,,,,
Universite d'Angers,19490970100303,79,FU,,,,,,,,
Universite de Reims Champagne Ardenne,19511296600799,7,FU,,,,,,,,
Universite de Bretagne Sud ,19561718800600,13,FU,,,,,,,,
Universite d'Artois ,19624401600016,19,FU,,,,,,,,
Universite Lumière Lyon 2,19691775100014,60,FU,,,,,,,,
Universite Jean Moulin Lyon 3,19692437700282,63,FU,,,,,,,,
Le Mans Université (Maine),19720916600010,76,FU,,,,,,,,
Universite Savoie Mont Blanc ,19730858800015,73,FU,,,,,,,,
Universite Paris1 Panthéon Sorbonne,19751717000019,45,FU,,,,,,,,
Universite Sorbonne Nouvelle Paris 3,19751719600014,83,FU,,,,,,,,
Institut Physique du Globe,19753428200078,42,FU,,,,,,,,
ENSAM (Arts et Metiers Paris Tech),19753472000010,59,FU,,,,,,,,
Ecole Nationale des Chartes,19753478700043,29,FU,,,,,,,,
Collège de France,19753480300014,89,FU,,,,,,,,
Ecole Pratique des Hautes Etudes,19753486000105,31,FU,,,,,,,,
INALCO,19753488600092,34,FU,,,,,,,,
Observatoire de Paris,19753496900013,6,FU,,,,,,,,
Ecole H.E.S.S,19753742600011,21,FU,,,,,,,,
Institut national d'histoire de l'art ,19754688000018,107,FU,,,,,,,,
Universite de Rouen Normandie,19761904200017,43,FU,,,,,,,,
Universite de Picardie Jules Verne,19801344300017,55,FU,,,,,,,,
Universite du Sud Toulon Var ,19830766200017,66,FU,,,,,,,,
Universite d'Avignon,19840685200204,17,FU,,,,,,,,
Universite de Limoges ,19870669900321,30,FU,,,,,,,,
Universite d'Evry Val-d'Essonne ,19911975100014,38,FU,,,,,,,,
Universite Paris Nanterre,19921204400010,22,FU,,,,,,,,
Universite Sorbonne Paris Nord ,19931238000017,74,FU,,,,,,,,
Universite Paris 8,19931827000014,71,FU,,,,,,,,
UPEC Val de Marne,19941111700013,36,FU,,,,,,,,
Universite des Antilles,19971585500011,80,FU,,,,,,,,
Universite de La Reunion ,19974478000016,39,FU,,,,,,,,
Universite de Polynesie Française ,19987001500013,32,FU,,,,,,,,
Universite de Montpellier 3 ,93249089900014,58,FU,,,,,,,,
Universite de Nîmes ,93249157400012,25,FU,,,,,,,,
Universite Marie et Louis Pasteur,93810656400017,3,FU,,,,,,,,
Universite de Bourgogne Europe,93823061200013,47,FU,,,,,,,,
Universtié Toulouse,93827139200012,86,FU,,,,,,,,
Universite Jean Monnet ,93850168100010,10,FU,,,,,,,,
